Model No,Brand,Control,Prog Name,Type,New CEC,New Star
GVA DF1-08,GVA,640,Upright,Refrigerator,268,1
GVA DF1-15,GVA,840,Upright,Refrigerator,295,1
GVA103R,GVA,825,Upright,Refrigerator,262,1.5
GVA225M,GVA,1477,Upright,Refrigerator/Freezer,375,2
GVA245F,GVA,,Upright,Refrigerator,250,2
GVA247,GVA,1390,Upright,Refrigerator/Freezer,420,1.5
GVA253F,GVA,1390,Upright,Refrigerator/Freezer,427,1.5
GVA400M,GVA,1679,Upright,Refrigerator/Freezer,464,2.5
GVA496F,GVA,1712,Upright,Refrigerator/Freezer,456,2.5
GVA65R,GVA,625,Upright,Refrigerator,207,2
GVABD-145,GVA,846,Chest,Freezer,259,3
GVABD-200,GVA,846,Chest,Freezer,300,3
GVABF115,GVA,840,Upright,Refrigerator,295,1
GVABF117,GVA,842,Upright,Refrigerator,260,1.5
GVABF42,GVA,510,Upright,Refrigerator,249,1
GVABF49,GVA,525,Upright,Refrigerator,185,2
GVABF69,GVA,640,Upright,Refrigerator,268,1
GVABF90,GVA,,Upright,Refrigerator,245,1.5
GVABFH116,GVA,840,Upright,Refrigerator,295,1
GVABFH120,GVA,837,Upright,Refrigerator,270,1
GVABFH6,GVA,510,Upright,Refrigerator,249,1
GVABFH6,GVA,485,Upright,Refrigerator,222,1.5
GVABFH70,GVA,640,Upright,Refrigerator,235,1.5
GVABFH80,GVA,625,Upright,Refrigerator,286,1
GVACF155WH,GVA,854,Chest,Freezer,321,2
GVACF200WH,GVA,854,Chest,Freezer,361,2
GVADD1-10,GVA,850,Upright,Freezer,230,2.5
GVADF1-06/DL1-06,GVA,510,Upright,Refrigerator,249,1
GVADF2-11,GVA,850,Upright,Refrigerator/Freezer,295,1.5
GVADLBF42,GVA,510,Upright,Refrigerator,249,1
GVAFD2-27,GVA,1505,Upright,Refrigerator/Freezer,390,2
GVAGF85,GVA,850,Upright,Cooled appliance,300,1.5
GVAHD-520FW (MN),GVA,1712,Upright,Refrigerator/Freezer,464,2.5
GVAHF80,GVA,,Upright,Freezer,300,1.5
GVAHS-208FN,GVA,1420,Upright,Freezer,237,3.5
GVAHS-306LN,GVA,1420,Upright,Refrigerator,194,3
GVAHS-502FWE,GVA,1550,Upright,Freezer,621,1.5
GVAHS241FN,GVA,1430,Upright,Freezer,365,2
GVAHS319LN,GVA,1430,Upright,Refrigerator,310,1.5
GVAPP190,GVA,,Upright,Freezer,334,2.5
GVAPP240,GVA,1390,Upright,Refrigerator,315,1.5
GVAPPF173,GVA,1440,Upright,Freezer,322,2.5
GVAPPR245,GVA,1432,Upright,Refrigerator,289,1.5
GVATCS14Q,GVA,835,Chest,Freezer,305,2
GVATCS20Q,GVA,835,Chest,Freezer,340,2.5
GVAUF81,GVA,842,Upright,Freezer,265,2
GVAUF82,GVA,840,Upright,Freezer,300,1.5
