Model No,Brand,Control,Prog Name,Type,New CEC,New Star
EAF245,EVERDURE,1430,Upright,Refrigerator,310,1.5
EAF245,EVERDURE,1430,Upright,Refrigerator,351,1
EBF115,EVERDURE,840,Upright,Refrigerator,295,1
EBF115,EVERDURE,840,Upright,Refrigerator,295,1
EBF70,EVERDURE,640,Upright,Refrigerator,235,1.5
EBF70,EVERDURE,640,Upright,Refrigerator,268,1
ECF142,Everdure,,Chest,Freezer,314,2
ECF142,EVERDURE,850,Chest,Freezer,314,2
ECF150,EVERDURE,850,Chest,Freezer,280,2.5
ECF198,EVERDURE,850,Chest,Freezer,358,2
ECF198,Everdure,,Chest,Freezer,358,2
ECF200,EVERDURE,850,Chest,Freezer,310,2.5
ECF295,Everdure,,Chest,Freezer,310,3.5
ECF300,EVERDURE,850,Chest,Freezer,400,2.5
ECF415,EVERDURE,865,Chest,Freezer,495,2.5
EVF175,EVERDURE,1430,Upright,Freezer,365,2
EVF175,EVERDURE,1430,Upright,Freezer,365,2
